,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
58,ler,75,NO,1561128990,66,63.2,10.3,57.2,5.82
59,vanimo,100,PG,1561128990,71,-2.67,141.3,83.39,3.69
60,muisne,99,EC,1561128991,83,0.61,-80.02,76.91,12.91
61,one hundred mile house,,,,,,,,
62,labuhan,87,ID,1561128991,89,-2.54,115.51,74.39,2.17
63,manzhouli,33,CN,1561128991,36,49.6,117.43,68.81,4.94
64,san policarpo,0,PH,1561128991,75,12.18,125.51,82.85,2.66
65,zyryanka,12,RU,1561128991,88,65.73,150.89,56.39,6.08
66,zelenoborsk,79,RU,1561128991,71,61.47,64.05,47.21,8.77
67,yellowknife,40,CA,1561128992,54,62.45,-114.38,53.6,13.87
68,khatanga,0,RU,1561128992,34,71.98,102.47,55.31,4.16
69,luderitz,22,NA,1561128991,53,-26.65,15.16,71.6,19.46
70,port blair,27,IN,1561128992,81,11.67,92.75,84.47,18.66
71,bozoum,36,CF,1561128992,81,6.31,16.38,78.53,4.92
72,ferme-neuve,73,CA,1561128992,44,46.7,-75.45,66.11,10.94
73,zhigansk,23,RU,1561128992,71,66.77,123.37,64.49,14.12
74,abu kamal,0,SY,1561128993,17,34.45,40.92,96.17,13.56
75,bathsheba,40,BB,1561128993,70,13.22,-59.52,86,20.8
76,santa rosa,89,AR,1561128862,58,-36.62,-64.29,55.49,2.06
77,hobart,75,AU,1561128994,75,-42.88,147.33,44.6,9.17
78,borogontsy,7,RU,1561128994,88,62.67,131.17,56.39,3.67
79,sept-iles,40,CA,1561128792,68,50.2,-66.38,64.99,8.05
80,castro,75,CL,1561128995,87,-42.48,-73.76,53.6,21.92
81,algiers,90,US,1561128995,70,29.94,-90.04,90,12.75
82,bredasdorp,33,ZA,1561128995,35,-34.53,20.04,69.8,4.7
83,znamenskoye,100,RU,1561128995,94,57.13,73.82,57.47,3.98
84,tongling,0,CN,1561128995,94,30.93,117.81,70.07,5.79
85,jamestown,23,AU,1561128996,63,-33.21,138.6,44.15,10.22
86,nouadhibou,0,MR,1561128906,57,20.93,-17.03,78.8,18.34
87,amderma,,,,,,,,
88,acapulco,90,MX,1561128996,74,16.86,-99.88,82.4,6.93
89,trofors,75,NO,1561128996,81,65.54,13.39,55.4,3.36
90,kapaa,75,US,1561128763,83,22.08,-159.32,75.99,10.29
91,campbell river,20,CA,1561128996,71,50.02,-125.24,57.99,5.82
92,udachnyy,75,RU,1561128997,62,66.42,112.4,53.6,8.95
93,santiago de cao,90,PE,1561128997,93,-7.96,-79.24,62.6,9.17
94,skjervoy,75,NO,1561128997,71,70.03,20.97,57.2,11.41
95,geraldton,40,CA,1561128997,51,49.72,-86.95,60.8,3.36
96,arraial do cabo,40,BR,1561128997,57,-22.97,-42.02,78.8,6.93
97,hasaki,75,JP,1561128997,94,35.73,140.83,69.8,5.82
98,penzance,20,GB,1561128997,67,50.12,-5.53,64.99,6.93
99,vestmanna,52,FO,1561128998,87,62.16,-7.17,48.2,20.8
100,vila franca do campo,75,PT,1561128998,94,37.72,-25.43,68,23.04
101,severo-kurilsk,58,RU,1561128998,95,50.68,156.12,43.25,1.39
102,upernavik,97,GL,1561128998,81,72.79,-56.15,33.89,17.11
103,nizhniy odes,0,RU,1561128998,42,63.64,54.86,54.23,6.98
104,uyuni,0,BO,1561128998,16,-20.46,-66.82,49.73,5.73
105,karratha,100,AU,1561128999,68,-20.74,116.85,67.01,10.25
106,nikolayevka,6,RU,1561128999,40,47.31,38.84,86.81,11.14
107,lixourion,0,GR,1561128999,70,38.2,20.43,93.2,12.75
108,mafinga,,,,,,,,
109,saint-philippe,90,CA,1561128999,64,45.36,-73.48,70,9.17
110,margate,75,AU,1561128999,75,-43.03,147.26,44.6,9.17
111,taolanaro,,,,,,,,
112,sorong,67,ID,1561129000,92,-0.86,131.25,75.47,7.02
113,bandarbeyla,0,SO,1561129000,36,9.49,50.81,92.03,21.7
114,altay,0,CN,1561129000,48,47.83,88.13,51.35,4.61
115,sao filipe,0,CV,1561129000,84,14.9,-24.5,73.85,22.01
116,laibin,89,CN,1561129000,91,23.74,109.23,79.25,8.59
117,graaff-reinet,57,ZA,1561129001,18,-32.25,24.53,70.07,10.76
118,kudahuvadhoo,100,MV,1561129001,74,2.67,72.89,84.29,10.09
119,huarmey,100,PE,1561129001,85,-10.07,-78.15,63.59,13.6
120,correderos,75,HN,1561129001,94,15.42,-88.45,88,4.7
121,gwembe,0,ZM,1561129001,44,-16.5,27.61,65.93,5.95
122,new norfolk,75,AU,1561129001,75,-42.78,147.06,44.6,9.17
123,avarua,0,CK,1561129002,64,-21.21,-159.78,69.8,6.93
124,ugoofaaru,100,MV,1561129002,81,5.67,73,83.57,16.15
125,kodiak,90,US,1561129002,93,39.95,-94.76,66.99,9.17
126,havoysund,0,NO,1561129002,48,71,24.66,60.8,18.34
127,fortuna,20,ES,1561129002,40,38.18,-1.13,87.8,16.11
128,tuktoyaktuk,40,CA,1561129002,66,69.44,-133.03,53.6,11.41
129,lagos,75,NG,1561128879,79,6.46,3.39,84.2,5.82
130,agadez,0,NE,1561129003,19,16.97,7.99,109.4,4.7
131,dingle,0,PH,1561129003,89,11,122.67,77.27,2.71
132,port moresby,100,PG,1561129003,91,-9.47,147.16,76.55,14.63
133,biak,84,ID,1561129003,97,-0.91,122.88,63.77,4.45
134,el seibo,40,DO,1561129003,79,18.76,-69.04,86,11.41
135,ponta do sol,3,BR,1561129003,61,-20.63,-46,70.25,9.57
136,kismayo,,,,,,,,
137,nizhniy tsasuchey,4,RU,1561129004,39,50.52,115.13,68.99,5.03
138,namibe,0,AO,1561129004,58,-15.19,12.15,82.4,12.75
139,tecoanapa,90,MX,1561129004,74,16.99,-99.26,82.4,6.93
140,airai,17,TL,1561129004,83,-8.93,125.41,68.27,5.53
141,taltal,3,CL,1561129004,63,-25.41,-70.49,61.79,5.08
142,mount gambier,10,AU,1561128874,61,-37.83,140.78,33.8,3.36
143,provideniya,52,RU,1561129005,80,64.42,-173.23,49.55,3.4
144,pevek,0,RU,1561129005,79,69.7,170.27,37.13,20.85
145,harlingen,40,US,1561129005,70,26.19,-97.7,87.8,23.04
146,bluff,0,AU,1561129005,53,-23.58,149.07,45.05,6.4
147,pandan,0,PH,1561129005,74,11.72,122.09,83.75,3.44
148,cherskiy,100,RU,1561129005,59,68.75,161.3,54.41,10.67
149,lobito,40,AO,1561129006,74,-12.35,13.55,78.8,6.93
150,barentsburg,,,,,,,,
151,henties bay,0,NA,1561129006,63,-22.12,14.28,64.13,22.01
152,brae,60,GB,1561129006,81,60.4,-1.35,53.6,20.8
153,tuatapere,100,NZ,1561129006,92,-46.13,167.69,44.01,1.01
154,portland,90,US,1561128825,62,45.52,-122.67,57.99,1.77
155,qaqortoq,20,GL,1561128891,62,60.72,-46.03,53.6,6.93
156,hay river,90,CA,1561129006,87,60.82,-115.79,44.6,4.7
157,katangli,100,RU,1561129007,96,51.71,143.23,42.35,9.17
158,fairbanks,1,US,1561129007,72,64.84,-147.72,66,3.36
159,te anau,96,NZ,1561129007,86,-45.41,167.72,41.99,0.38
160,sorvag,,,,,,,,
161,nchelenge,0,ZM,1561129007,46,-9.35,28.74,76.37,2.46
162,jinka,1,ET,1561129007,89,5.79,36.57,71.51,0.74
163,koumac,63,NC,1561129007,81,-20.56,164.28,73.49,8.61
164,kavieng,55,PG,1561129008,74,-2.57,150.8,84.29,8.03
165,sakakah,,,,,,,,
166,tual,1,ID,1561129008,80,-5.67,132.75,79.97,22.19
167,minna,40,NG,1561129008,74,9.62,6.55,80.6,6.93
168,nelson bay,75,AU,1561129008,75,-32.72,152.14,51.01,8.05
169,bacuit,,,,,,,,
170,vaitupu,,,,,,,,
171,saldanha,0,PT,1561129009,30,41.42,-6.55,77.27,6.96
172,heilbron,0,ZA,1561129009,21,-27.29,27.97,57.47,4.14
173,vannes,0,FR,1561129009,48,47.66,-2.76,72,4.7
174,los alamos,0,US,1561129009,20,35.88,-106.3,73,6.93
175,tera,20,CY,1561129009,65,34.97,32.42,84,8.05
176,batesville,90,US,1561129009,88,35.77,-91.64,81,6.93
177,malwan,,,,,,,,
178,abilene,1,US,1561129010,69,32.45,-99.73,86,17.22
179,krasnoyarsk-45,,,,,,,,
180,kristiinankaupunki,,,,,,,,
181,faanui,40,PF,1561129010,77,-16.48,-151.75,78.71,5.32
182,poum,40,MK,1561129010,57,41.28,20.71,75.2,4.7
183,katobu,79,ID,1561129010,86,-4.94,122.53,75.11,6.49
184,mulege,0,MX,1561129010,27,26.88,-111.98,88.43,1.52
185,amapa,75,HN,1561129011,83,15.09,-87.97,88,3.36
186,tallahassee,75,US,1561128851,79,30.44,-84.28,89.01,9.17
187,galveston,1,US,1561129011,94,40.58,-86.19,73,4.7
188,tiksi,30,RU,1561129011,61,71.64,128.87,50.63,8.7
189,tatebayashi,75,JP,1561129011,83,36.24,139.54,77,12.75
190,rio gallegos,0,AR,1561129011,70,-51.62,-69.22,33.8,10.36
191,marcona,,,,,,,,
192,urosevac,,,,,,,,
193,yako,0,BF,1561129012,17,12.96,-2.26,105.35,6.58
194,vestmannaeyjar,40,IS,1561128907,81,63.44,-20.27,53.6,11.41
195,chuy,63,UY,1561129012,78,-33.69,-53.46,59.45,8.68
196,sitka,0,US,1561129012,29,37.17,-99.65,83.03,10.78
197,ninotsminda,75,GE,1561129012,37,41.27,43.59,71.6,6.93
198,moiyabana,,,,,,,,
199,alofi,20,NU,1561129012,82,-19.06,-169.92,68,6.93
200,lebu,45,ET,1561129013,71,8.96,38.73,65.57,5.88
201,chokurdakh,0,RU,1561129013,53,70.62,147.9,48.65,13.85
202,neuquen,0,AR,1561129013,93,-38.95,-68.06,37.4,2.24
203,san rafael,18,AR,1561129014,32,-34.61,-68.33,54.59,7
204,carnarvon,0,ZA,1561129014,22,-30.97,22.13,62.69,28.45
205,sao miguel do araguaia,0,BR,1561129009,28,-13.28,-50.16,90.77,8.32
206,cayce,1,US,1561128902,61,33.97,-81.07,86,6.93
207,katsuura,75,JP,1561129014,94,33.93,134.5,71.6,10.29
208,lovozero,100,RU,1561129014,93,68.01,35.02,49.91,7.11
209,bambous virieux,75,MU,1561129014,57,-20.34,57.76,75.2,16.11
210,cayenne,75,GF,1561129015,66,4.94,-52.33,87.8,4.7
211,emirdag,75,TR,1561129015,56,39.02,31.15,73.4,14.99
212,hermiston,75,US,1561128755,59,45.84,-119.29,62.01,6.93
213,adrar,0,DZ,1561129015,3,27.87,-0.29,113,10.29
214,karaul,,,,,,,,
215,kruisfontein,80,ZA,1561129015,24,-34,24.73,71.87,11.92
216,diapaga,0,BF,1561129015,33,12.07,1.79,99.41,6.17
217,bitung,20,ID,1561129016,65,1.44,125.19,80.6,3.36
218,kamenka,57,RU,1561129016,23,53.19,44.05,90,4.23
219,victoria,75,BN,1561129016,88,5.28,115.24,82.4,7.23
220,chenzhou,100,CN,1561129017,92,25.81,113.03,80.15,3.18
221,leh,0,IN,1561129017,48,34.16,77.58,32.09,9.01
222,lavrentiya,3,RU,1561129017,62,65.58,-170.99,54.95,5.17
223,jalu,0,LY,1561129017,12,29.03,21.55,99.95,13.04
224,hlotse,,,,,,,,
225,port elizabeth,90,US,1561129017,78,39.31,-74.98,77,13.87
226,coquimbo,75,CL,1561129017,71,-29.95,-71.34,57.2,5.82
227,cam pha,,,,,,,,
228,yen bai,71,VN,1561129018,73,21.7,104.87,81.95,2.04
229,awjilah,0,LY,1561129018,11,29.14,21.3,99.59,12.48
230,iringa,,,,,,,,
231,marsabit,80,KE,1561129018,36,2.34,37.99,90.41,16.08
232,el wasta,,,,,,,,
233,cidreira,33,BR,1561129018,68,-30.17,-50.22,67.37,10.22
234,jamkhed,100,IN,1561129018,56,18.74,75.31,84.11,12.5
235,inzer,14,RU,1561129019,64,54.22,57.56,64.13,5.46
236,hualmay,100,PE,1561129019,85,-11.1,-77.61,62.87,13.44
237,cockburn town,0,TC,1561129019,85,21.46,-71.14,82.13,19.1
238,rawson,0,AR,1561129019,48,-43.3,-65.11,55.31,14.63
239,preobrazheniye,13,RU,1561129019,97,42.9,133.91,48.65,1.01
240,touros,75,BR,1561129019,74,-5.2,-35.46,84.2,11.41
241,sisimiut,100,GL,1561128892,83,66.94,-53.67,38.93,3.18
242,dzerzhinskoye,34,RU,1561129020,65,56.84,95.22,61.61,0.87
243,fayetteville,20,US,1561128908,69,36.06,-94.16,86,19.46
244,angoche,15,MZ,1561129020,88,-16.23,39.91,67.91,4.07
245,hilo,90,US,1561129020,88,19.71,-155.08,71.6,2.26
246,melbu,75,NO,1561129020,87,68.5,14.83,55.4,9.17
247,hobyo,28,SO,1561129020,60,5.35,48.53,81.95,29.44
248,santa maria,75,BR,1561128953,100,-29.69,-53.81,53.6,4.7
249,sola,20,FI,1561129022,57,62.78,29.36,81,8.05
250,de-kastri,100,RU,1561129022,86,51.48,140.77,48.47,5.82
251,izhma,0,RU,1561129022,41,65.01,53.91,55.13,7.83
252,evansville,1,US,1561128728,73,37.97,-87.56,78.8,6.93
253,bengkulu,,,,,,,,
254,kesennuma,,,,,,,,
255,colomi,0,BO,1561129022,34,-17.34,-65.87,66.2,3.18
256,santa cruz,90,US,1561128858,76,36.97,-122.03,61,0.67
257,shimoda,98,JP,1561129024,92,34.7,138.93,72,5.21
258,ballina,75,IE,1561129024,58,54.11,-9.15,60.01,4.7
259,labutta,,,,,,,,
260,coahuayana,96,MX,1561129024,77,18.62,-100.35,81.95,1.1
261,sinnamary,4,GF,1561129024,78,5.38,-52.96,81.59,12.77
262,acara,,,,,,,,
263,ondjiva,0,AO,1561129025,19,-17.07,15.73,78.8,8.05
264,thai binh,20,VN,1561129025,89,20.45,106.33,87.8,6.93
265,san patricio,0,PY,1561129025,72,-26.98,-56.83,74.75,7.72
266,mar del plata,0,AR,1561129025,61,-46.43,-67.52,48.65,9.22
267,homer,90,US,1561129025,93,59.64,-151.54,51.8,10.04
268,sovetskiy,99,RU,1561129026,73,56.76,48.47,73.13,2.95
269,iwanai,100,JP,1561129026,97,42.97,140.51,57.83,8.05
270,santander,25,PH,1561129026,87,9.42,123.33,74.57,1.99
271,nhulunbuy,40,AU,1561129026,78,-12.18,136.78,73.4,9.17
272,trairi,0,BR,1561129026,53,-3.28,-39.27,83.57,10.02
273,lakes entrance,27,AU,1561129027,90,-37.88,147.99,41,8.88
274,victoria point,20,AU,1561129027,59,-27.58,153.3,59,8.05
275,port-gentil,40,GA,1561128848,74,-0.72,8.78,82.4,11.41
276,marsh harbour,4,BS,1561128966,84,26.54,-77.06,82.31,11.45
277,buqayq,,,,,,,,
278,touba,13,SN,1561129027,8,14.86,-15.88,110.39,6.53
279,kisesa,20,TZ,1561129027,35,-2.55,33.05,86,11.41
280,port hedland,90,AU,1561129027,56,-20.31,118.58,71.6,10.29
281,ginda,40,IN,1561129028,41,30.69,78.49,91.4,3.36
282,enshi,100,CN,1561129028,97,30.29,109.48,67.91,4.41
283,terrace bay,20,CA,1561129028,55,48.78,-87.1,60.8,4.7
284,piacabucu,0,BR,1561129028,66,-10.41,-36.43,81.59,8.23
285,ishigaki,100,JP,1561129028,87,24.34,124.16,83.03,19.6
286,aksha,0,RU,1561129028,51,50.28,113.29,61.79,1.92
287,dicabisagan,55,PH,1561129029,92,17.08,122.42,77.27,3.38
288,san borja,69,BO,1561129029,59,-14.86,-66.75,82.49,1.43
289,nome,90,US,1561129029,70,30.04,-94.42,89.6,13.87
290,stephenville,1,US,1561129029,74,32.22,-98.2,84.99,18.34
291,rundu,0,NA,1561129029,20,-17.91,19.77,73.4,6.93
292,mehamn,0,NO,1561129029,70,71.03,27.85,44.6,23.04
293,filadelfia,0,PY,1561129030,46,-22.35,-60.04,82.85,15.03
294,verkhniy fiagdon,75,RU,1561129030,69,42.83,44.31,73.4,6.71
295,rondonopolis,0,BR,1561129030,36,-16.46,-54.64,85.91,7.78
296,khandbari,99,NP,1561129030,89,27.38,87.21,59.99,2.73
297,deputatskiy,35,RU,1561129030,55,69.3,139.9,58.19,3.47
298,cheuskiny,,,,,,,,
299,dryden,1,CA,1561129031,40,49.79,-92.84,69.8,3.36
300,baturaja,76,ID,1561129031,88,-4.12,104.17,73.85,2.62
301,norman wells,40,CA,1561129031,76,65.28,-126.83,48.2,8.05
302,vao,74,EE,1561129031,67,59.1,26.19,71.51,10.22
303,gaoual,17,GN,1561129031,47,11.75,-13.2,95.09,8.32
304,nizhneyansk,,,,,,,,
305,najran,0,SA,1561129031,13,17.54,44.22,98.6,9.17
306,iqaluit,40,CA,1561129032,50,63.75,-68.52,57.2,13.87
307,sao joao da barra,75,BR,1561129032,65,-21.64,-41.05,78.8,13.87
308,chateaubelair,20,VC,1561129032,74,13.28,-61.25,88,13.87
309,lemesos,,,,,,,,
310,bela,0,PK,1561129032,55,26.23,66.31,86.81,8.21
311,mitsamiouli,75,KM,1561129032,69,-11.38,43.28,80.6,11.41
312,zaysan,7,KZ,1561129033,43,47.47,84.87,60.71,5.7
313,souillac,0,FR,1561129033,43,45.6,-0.6,72,9.17
314,kaitangata,100,NZ,1561128885,72,-46.28,169.85,41,3
315,vilcun,75,CL,1561129033,87,-38.65,-72.23,51.8,13.87
316,haapiti,6,PF,1561129033,73,-17.57,-149.87,77,13.87
317,mahebourg,75,MU,1561129033,57,-20.41,57.7,75.2,16.11
318,salalah,75,OM,1561129033,84,17.01,54.1,86,13.87
319,bereslavka,31,UA,1561129034,42,47.89,32.29,85.01,9.75
320,kerman,75,IR,1561129034,4,30.29,57.06,96.8,9.17
321,east london,0,ZA,1561129034,43,-33.02,27.91,71.6,5.82
322,maldonado,0,UY,1561128766,87,-34.91,-54.96,53.6,4.7
323,samarai,91,PG,1561129034,94,-10.62,150.67,75.11,6.4
324,quatre cocos,75,MU,1561128903,57,-20.21,57.76,75.2,16.11
325,san francisco,90,US,1561128775,82,37.78,-122.42,60.01,3.36
326,safwah,,,,,,,,
327,high level,90,CA,1561129036,100,58.52,-117.13,50,9.17
328,banon,0,FR,1561129036,37,44.04,5.63,86,4.7
329,san cristobal,51,EC,1561129036,98,-0.39,-78.55,48,1.01
330,yingcheng,90,CN,1561129036,100,30.93,113.57,75.2,8.95
331,port lincoln,0,AU,1561129036,60,-34.72,135.86,56.39,19.53
332,nanortalik,100,GL,1561129037,92,60.14,-45.24,37.13,7.11
333,pendleton,1,US,1561129037,51,34.65,-82.78,86,5.82
334,ewa beach,90,US,1561129037,88,21.32,-158.01,78.8,3.36
335,jacareacanga,48,BR,1561129037,58,-6.22,-57.76,85.73,5.86
336,palora,99,EC,1561129037,96,-1.7,-77.97,62.87,3.47
337,yulara,0,AU,1561128888,41,-25.24,130.99,42.8,5.82
338,havelock,1,US,1561128935,45,34.88,-76.9,87.01,17.22
339,hun,20,BE,1561129038,55,50.34,4.87,70,3.36
340,umm lajj,0,SA,1561129038,49,25.02,37.27,91.13,10.47
341,huntingdon,40,GB,1561128952,45,52.33,-0.18,71.01,8.05
342,clarence town,40,AU,1561129038,81,-32.59,151.78,51.01,10.29
343,saint-augustin,100,FR,1561129038,88,44.83,-0.61,66.99,5.82
344,valdivia,90,CL,1561129038,93,-39.81,-73.25,51.8,11.41
345,bengbu,69,CN,1561129038,64,32.92,117.38,79.61,6.46
346,ahipara,100,NZ,1561129039,59,-35.17,173.16,59.63,10.69
347,helong,100,CN,1561129039,89,25.94,116.13,79.25,4.79
348,cap-aux-meules,90,CA,1561129039,100,47.38,-61.86,50,20.8
349,lorengau,100,PG,1561129039,84,-2.02,147.27,79.43,3.44
350,ambon,0,FR,1561129039,48,47.55,-2.56,72,4.7
351,pisco,90,PE,1561129040,30,-13.71,-76.2,71.6,4.7
352,guerrero negro,50,MX,1561129040,85,27.97,-114.04,62.33,14.47
353,linden,75,GY,1561129041,88,6.01,-58.31,82.4,4.7
354,linqu,100,CN,1561129041,60,36.52,118.54,77,1.57
355,la asuncion,100,EC,1561129041,68,-1.64,-78.74,54.95,3.31
356,oliveira,13,BR,1561129041,58,-20.7,-44.83,71.87,7.94
357,sorland,75,NO,1561129041,100,67.67,12.69,53.6,13.87
358,saint-paul,98,FR,1561129042,68,45.22,1.9,68,9.17
359,shelbyville,40,US,1561128891,69,39.41,-88.79,75,12.75
360,noumea,0,NC,1561129036,82,-22.28,166.46,66.2,2.24
361,tsihombe,,,,,,,,
362,sao jose da coroa grande,2,BR,1561129042,64,-8.9,-35.15,82.13,9.6
363,barra do garcas,0,BR,1561129042,39,-15.89,-52.26,84.2,11.41
364,caravelas,64,BR,1561128930,64,-17.73,-39.27,78.17,10.2
365,sabancuy,90,MX,1561129042,73,18.97,-91.18,84.11,15.66
366,karpogory,100,RU,1561129042,59,64,44.44,58.19,5.7
367,boa vista,75,BR,1561129044,62,2.82,-60.67,84.2,4.7
368,buon me thuot,,,,,,,,
369,zhifang,90,CN,1561129044,100,30.35,114.31,75.2,8.95
370,rocha,95,UY,1561129044,78,-34.48,-54.34,57.11,8.52
371,samusu,,,,,,,,
372,tiznit,0,MA,1561128823,84,29.7,-9.73,66.83,18.23
373,auki,23,NG,1561129044,30,12.18,6.51,97.79,5.19
374,senanga,0,ZM,1561129044,19,-16.1,23.3,78.53,5.7
375,verkhnyaya inta,100,RU,1561129045,84,65.99,60.32,40.91,13.22
376,isperih,3,BG,1561129045,51,43.72,26.83,84.99,1.01
377,bolshoy uluy,,,,,,,,
378,komsomolskiy,98,RU,1561129045,83,67.55,63.78,38.75,12.19
379,cascais,20,PT,1561129045,49,38.7,-9.42,75.99,17.22
380,basco,90,US,1561129045,77,40.33,-91.2,71.6,14.99
381,makushino,0,RU,1561129045,70,55.21,67.25,63.05,10.87
382,hailar,77,CN,1561129046,45,49.2,119.7,66.65,8.81
383,tyumen,0,RU,1561129046,42,57.15,65.54,66.2,20.13
384,roald,75,NO,1561129046,71,62.58,6.12,64.4,19.46
385,petropavlovsk-kamchatskiy,90,RU,1561129046,100,53.05,158.65,44.6,2.24
386,bilibino,89,RU,1561129046,83,68.06,166.44,48.47,4.41
387,carutapera,0,BR,1561128954,72,-1.2,-46.02,83.57,8.32
388,aflu,,,,,,,,
389,kastamonu,88,TR,1561129047,70,41.38,33.78,67.55,5.28
390,mahanoro,100,MG,1561129047,98,-19.9,48.8,63.95,2.37
391,platanos,20,GR,1561129047,43,35.47,23.6,89.6,6.93
392,tautira,23,PF,1561129047,73,-17.73,-149.15,77,13.87
393,marechal candido rondon,0,BR,1561129047,60,-24.56,-54.06,77.09,6.85
394,atambua,0,ID,1561129047,74,-9.11,124.89,76.73,16.51
395,grand river south east,,,,,,,,
396,karamea,,,,,,,,
397,ilulissat,90,GL,1561129048,81,69.22,-51.1,44.6,9.17
398,kenai,1,US,1561129048,93,60.55,-151.26,48,3.36
399,klyuchi,28,RU,1561129048,44,52.25,79.17,68.27,6.15
400,do rud,,,,,,,,
401,niquero,0,CU,1561129048,79,20.04,-77.58,84.11,15.73
402,beisfjord,75,NO,1561129048,82,68.38,17.6,57.2,8.05
403,izberbash,40,RU,1561129049,50,42.57,47.86,78.8,15.66
404,leningradskiy,49,RU,1561129049,81,69.38,178.42,38.57,5.91
405,reforma,5,MX,1561129049,52,24.02,-104.65,72,2.24
406,iberia,96,PE,1561129049,53,-11.41,-69.49,83.03,3.04
407,cabo san lucas,5,MX,1561128945,22,22.89,-109.91,91,7.34
408,mozarlandia,0,BR,1561128805,30,-14.74,-50.57,89.33,8.57
409,aitape,100,PG,1561129050,87,-3.15,142.36,77.27,4
410,necochea,100,AR,1561129050,63,-38.55,-58.74,57.47,15.14
411,bozova,0,TR,1561129050,22,37.36,38.53,88,8.05
412,iralaya,75,HN,1561129050,74,15,-83.23,86,9.17
413,diamantino,0,BR,1561129050,40,-14.4,-56.44,85.19,8.3
414,cessnock,40,AU,1561129050,81,-32.83,151.35,51.01,10.29
