,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,broome,40,GB,1561128981,52,52.47,1.45,69.01,8.05
1,atuona,11,PF,1561128982,76,-9.8,-139.03,80.33,17.02
2,barrow,100,AR,1561128982,70,-38.31,-60.23,55.31,15.77
3,tasiilaq,90,GL,1561128982,86,65.61,-37.64,41,4.7
4,rikitea,100,PF,1561128982,79,-23.12,-134.97,74.21,25.66
5,nikolskoye,40,RU,1561128982,61,59.7,30.79,81,11.18
6,kayes,0,ML,1561128982,13,14.44,-11.44,108.05,1.45
7,ushuaia,75,AR,1561128983,94,-54.81,-68.31,35.6,6.93
8,iquique,0,CL,1561128983,63,-20.22,-70.14,64.4,10.29
9,quang ngai,0,VN,1561128983,97,15.12,108.8,75.29,2.04
10,srednekolymsk,0,RU,1561128983,57,67.46,153.71,56.03,12.93
11,albany,40,US,1561128983,100,42.65,-73.75,64.99,3.36
12,illoqqortoormiut,,,,,,,,
13,ozgon,,,,,,,,
14,luohe,99,CN,1561128984,54,33.57,114.03,83.03,3.67
15,mys shmidta,,,,,,,,
16,constitucion,5,MX,1561128984,52,23.99,-104.67,72,2.24
17,busselton,33,AU,1561128984,61,-33.64,115.35,52,14.74
18,smithers,90,CA,1561128984,93,54.78,-127.17,46.4,2.24
19,mataura,100,NZ,1561128984,92,-46.19,168.86,44.01,1.01
20,whitehorse,75,CA,1561128984,81,60.72,-135.06,48.2,2.24
21,punta arenas,75,CL,1561128984,93,-53.16,-70.91,37.4,5.82
22,yadgir,100,IN,1561128985,69,16.77,77.14,81.05,8.25
23,cabedelo,75,BR,1561128985,69,-6.97,-34.84,82.4,18.34
24,magistralnyy,69,RU,1561128985,95,56.17,107.45,52.97,1.7
25,ranikhet,18,IN,1561128985,26,29.65,79.42,87.17,3.65
26,kahului,1,US,1561128985,83,20.89,-156.47,73.99,3.36
27,bhilai,75,IN,1561128985,52,21.21,81.37,91.4,12.75
28,aklavik,75,CA,1561128986,72,68.22,-135.01,60.8,9.17
29,belushya guba,,,,,,,,
30,chapais,20,CA,1561128986,52,49.78,-74.86,64.4,16.11
31,lagoa,0,PT,1561128986,64,37.14,-8.45,82,10.29
32,kieta,99,PG,1561128986,78,-6.22,155.63,81.77,6.2
33,vaini,18,IN,1561128986,89,15.34,74.49,78.71,4.03
34,qaanaaq,0,GL,1561128987,67,77.48,-69.36,31.73,6.76
35,attawapiskat,,,,,,,,
36,grootfontein,0,NA,1561128987,17,-19.56,18.1,71.6,8.05
37,egvekinot,100,RU,1561128987,67,66.32,-179.17,52.25,5.28
38,grindavik,75,IS,1561128987,71,63.84,-22.43,51.8,11.41
39,thompson,40,CA,1561128987,46,55.74,-97.86,71.6,3.36
40,alugan,2,PH,1561128988,93,12.22,125.48,76.37,2.89
41,haines junction,0,CA,1561128988,49,60.75,-137.51,54.59,2.84
42,hermanus,33,ZA,1561128599,59,-34.42,19.24,64,15.01
43,puerto ayora,100,EC,1561128988,77,-0.74,-90.35,75.47,11.77
44,butaritari,100,KI,1561128988,75,3.07,172.79,83.21,7
45,dikson,93,RU,1561128988,89,73.51,80.55,36.23,7.29
46,ribeira grande,40,PT,1561128933,73,38.52,-28.7,71.6,25.28
47,torbay,90,CA,1561128988,87,47.66,-52.73,57.2,9.17
48,port alfred,100,ZA,1561128989,39,-33.59,26.89,72,11.56
49,sentyabrskiy,,,,,,,,
50,klaksvik,38,FO,1561128989,87,62.23,-6.59,48.2,20.8
51,hithadhoo,13,MV,1561128989,69,-0.6,73.08,84.83,4.97
52,vila,0,IT,1561128989,39,45.18,8.4,89.01,4.7
53,georgetown,40,GY,1561128990,74,6.8,-58.16,84.2,18.34
54,atar,0,MR,1561128990,9,20.52,-13.05,102.47,12.26
55,cape town,90,ZA,1561128921,87,-33.93,18.42,57.99,24.16
56,clyde river,75,CA,1561128990,76,70.47,-68.59,35.6,13.87
57,meyungs,,,,,,,,
